Address,Neighborhood,Ward,Description,ZipCode,Usage,Lot Square Feet,ParcelId
3043 NEW ASHLAND PL,The Greater Ville,4,,63115,Vacant Lot,3074.414782,44660003800
4422 COTE BRILLIANTE AV,The Ville,4,,63113,Vacant Lot,3075.3519775,37010001500
3860 LINCOLN AV,JeffVanderLou,4,,63113,Vacant Lot,3076.9756955,36300000300
3623 ALDINE AV,JeffVanderLou,4,,63113,Vacant Lot,3080.9841295,18800002700
3629 ALDINE AV,JeffVanderLou,4,,63113,Vacant Lot,3081.525633,18800003000
4622 KENNERLY AV,The Greater Ville,4,,63113,Vacant Lot,3082.5313715,44700001700
3847 COTTAGE AV,JeffVanderLou,4,,63113,Vacant Lot,3083.6413925,36300003400
4274 LABADIE AV,The Greater Ville,4,,63115,Vacant Lot,3092,36720000500
1713 N GRAND BLVD,JeffVanderLou,4,,63106,Vacant Lot,3092.89982,18800002000
4425 COTE BRILLIANTE AV,The Ville,4,,63113,Vacant Lot,3100.0715985,37020002800
4359 COTE BRILLIANTE AV,The Ville,4,,63113,Vacant Lot,3101.465618,36970004600
3011 VINE GROVE AV,The Greater Ville,4,,63115,Vacant Lot,3103.1023455,36190006400
4318 ASHLAND AV,The Greater Ville,4,,63115,Vacant Lot,3104.615736,36200002900
4437 N MARKET PL,The Ville,4,,63113,Vacant Lot,3108.983787,37040003400
4447 ALDINE AV,The Ville,4,,63113,Vacant Lot,3110.512722,37010003900
3820 COTTAGE AV,JeffVanderLou,4,,63113,Vacant Lot,3110.5454625,36310002100
4546 MAFFITT AV,The Greater Ville,4,,63113,Vacant Lot,3112.2406575,37150001800
4254 COTE BRILLIANTE AV,The Ville,4,,63113,Vacant Lot,3112.4411555,36830000600
4248 W LABADIE AV,The Greater Ville,4,,63115,Vacant Lot,3113.07582,44680602200
3858 COTTAGE AV,JeffVanderLou,4,,63113,Vacant Lot,3115.3685355,36310000800
3954 N MARKET PL,The Greater Ville,4,,63113,Vacant Lot,3115.81206,36400000600
4611 EVANS AV,Lewis Place,4,,63113,Vacant Lot,3116.0046985,37750304900
4609 EVANS AV,Lewis Place,4,,63113,Vacant Lot,3116.269156,37750304800
4597 EVANS AV,Lewis Place,4,,63113,Vacant Lot,3116.96366,37750304500
4438 ELMBANK AV,The Greater Ville,4,,63115,Vacant Lot,3117.008949,36180001200
1814 BILLUPS AV,The Ville,4,,63113,Vacant Lot,3117.062928,36840005000
4595 EVANS AV,Lewis Place,4,,63113,Vacant Lot,3117.138684,37750304400
4136 ALDINE AV,The Ville,4,,63113,Vacant Lot,3117.3277695,36600000700
4581 EVANS AV,Lewis Place,4,,63113,Vacant Lot,3118.3623175,37750304000
4579 EVANS AV,Lewis Place,4,,63113,Vacant Lot,3118.537317,37750303900
4577 EVANS AV,Lewis Place,4,,63113,Vacant Lot,3118.8625585,37750303800
4571 EVANS AV,Lewis Place,4,,63113,Vacant Lot,3119.537595,37750303600
4569 EVANS AV,Lewis Place,4,,63113,Vacant Lot,3119.712574,37750303500
4571 GARFIELD AV,The Greater Ville,4,,63113,Vacant Lot,3120.536323,37190003500
4146 ASHLAND AV,The Greater Ville,4,,63115,Vacant Lot,3121,36240002350
4537 GARFIELD AV,The Greater Ville,4,,63113,Vacant Lot,3122.25,37190002500
4540 COTE BRILLIANTE AV,The Greater Ville,4,,63113,Vacant Lot,3123.478276,37210001709
1815 N SARAH ST,The Ville,4,,63113,Vacant Lot,3124.750236,36620002300
4305 COTE BRILLIANTE AV,The Ville,4,,63113,Vacant Lot,3125.791272,36970002500
4576 GARFIELD AV,The Greater Ville,4,,63113,Vacant Lot,3126.113265,37200000700
4337 ST FERDINAND AV,The Ville,4,,63113,Vacant Lot,3127.359224,36940003400
4428 GARFIELD AV,The Ville,4,,63113,Vacant Lot,3127.9368015,37020001000
4552 KENNERLY AV,The Greater Ville,4,,63113,Vacant Lot,3128.520699,37160001200
4024 COTE BRILLIANTE AV,The Greater Ville,4,,63113,Vacant Lot,3131.545745,36570001200
4038 COTE BRILLIANTE AV,The Greater Ville,4,,63113,Vacant Lot,3132.7644195,36570000700
4206 COTE BRILLIANTE AV,The Ville,4,,63113,Vacant Lot,3134.112039,36800001200
3614 GARFIELD AV,JeffVanderLou,4,,63113,Vacant Lot,3135.1352025,18790001400
4037 PAGE BLVD,Vandeventer,4,,63113,Vacant Lot,3136.582942,37330008300
2607 PRAIRIE AV,JeffVanderLou,4,,63113,Vacant Lot,3143.757841,36300002100
4534 KENNERLY AV,The Greater Ville,4,,63113,Vacant Lot,3144,37160001800
4581 GARFIELD AV,The Greater Ville,4,,63113,Vacant Lot,3145.1067795,37190003900
4357 NORTH MARKET ST,The Ville,4,,63113,Vacant Lot,3146.7340575,36950003300
1807 N TAYLOR AV,The Greater Ville,4,,63113,Vacant Lot,3148.6650345,37200003300
3850 COTTAGE AV,JeffVanderLou,4,,63113,Vacant Lot,3152.0946675,36310001100
4550 KENNERLY AV,The Greater Ville,4,,63113,Vacant Lot,3152.0953525,37160001300
4713 NORTHLAND AV,Kingsway East,4,,63113,Vacant Lot,3155.7765685,44780004100
4578 N MARKET PL,The Greater Ville,4,,63113,Vacant Lot,3156.415324,37190000600
3042 MARNICE PL,The Greater Ville,4,,63115,Vacant Lot,3158.6760255,36210000700
4026 N MARKET PL,The Greater Ville,4,,63113,Vacant Lot,3160.435035,36550001300
4356 ST FERDINAND AV,The Ville,4,,63113,Vacant Lot,3160.8524925,36950000500
4312 LABADIE AV,The Greater Ville,4,,63115,Vacant Lot,3161.975691,44680601500
3852 COTTAGE AV,JeffVanderLou,4,,63113,Vacant Lot,3162.119476,36310001000
4116 ALDINE AV,The Ville,4,,63113,Vacant Lot,3163,36590000100
4570 ALDINE AV,The Greater Ville,4,,63113,Vacant Lot,3163,37230000850
4235 W ALDINE AV,The Ville,4,,63113,Vacant Lot,3163.29,36830003700
1725 BILLUPS AV,The Ville,4,,63113,Vacant Lot,3164.802142,36980001900
4316 ASHLAND AV,The Greater Ville,4,,63115,Vacant Lot,3164.886116,36200003000
4335 EVANS AV,Vandeventer,4,,63113,Vacant Lot,3166,37270003330
2403 N VANDEVENTER AV,The Greater Ville,4,,63113,Vacant Lot,3166.408776,36410002650
